number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_num_layers,params_weight_decay,state
27,0.715665411687674,2026-03-14 11:22:22.039567,2026-03-14 11:24:36.387675,0 days 00:02:14.348108,64,0.08475802088717496,512,0.00014276416852197324,4,9.35514816977868e-06,PRUNED
28,0.7087903093796039,2026-03-14 11:24:36.388720,2026-03-14 11:25:36.122183,0 days 00:00:59.733463,128,0.1603282477119598,128,0.00024423294415471474,2,1.8662655118252633e-06,PRUNED
29,0.7107546243247668,2026-03-14 11:25:36.123180,2026-03-14 11:27:22.067407,0 days 00:01:45.944227,64,0.11369595857136029,512,0.00019188875414702014,3,3.2469945492841423e-06,PRUNED
30,0.6418399083319692,2026-03-14 11:27:22.068412,2026-03-14 11:28:44.222893,0 days 00:01:22.154481,128,0.41353632784109784,512,0.005628303403380896,4,1.4553239068330878e-06,PRUNED
31,0.7069896873465379,2026-03-14 11:28:44.223930,2026-03-14 11:30:01.680898,0 days 00:01:17.456968,128,0.01159231220593529,512,0.00010669208778469198,3,8.078226341597083e-06,PRUNED
32,0.7074807660828286,2026-03-14 11:30:01.681861,2026-03-14 11:31:25.890241,0 days 00:01:24.208380,128,0.0457027107524241,512,0.0001297410454409574,3,1.629872594171152e-05,PRUNED
33,0.7158291045997708,2026-03-14 11:31:25.891265,2026-03-14 11:32:50.034989,0 days 00:01:24.143724,128,0.002601610116910162,512,0.00016957773548527554,3,4.040314347506576e-06,PRUNED
34,0.7038795220166967,2026-03-14 11:32:50.035990,2026-03-14 11:33:54.372235,0 days 00:01:04.336245,128,0.08470697405530067,512,0.00021602189834187482,2,1.014765166534866e-06,PRUNED
35,0.7010967425110493,2026-03-14 11:33:54.373169,2026-03-14 11:34:52.528260,0 days 00:00:58.155091,128,0.05098238259298096,64,0.0011483866680396262,2,6.981304678033282e-06,PRUNED
36,0.7207398919626781,2026-03-14 11:34:52.529275,2026-03-14 11:36:33.529971,0 days 00:01:41.000696,256,0.17408764715088604,512,0.0003624089282029451,3,1.5860528619957128e-06,PRUNED
37,0.6899656244884597,2026-03-14 11:36:33.530919,2026-03-14 11:37:41.383080,0 days 00:01:07.852161,128,0.3019805421473877,256,0.0008397348924012977,4,3.294878676790336e-05,PRUNED
38,0.6948764118513668,2026-03-14 11:37:41.384142,2026-03-14 11:39:13.506647,0 days 00:01:32.122505,64,0.22606017852206897,64,0.0005384635494099526,3,0.00016012339490552362,PRUNED
39,0.7074807660828286,2026-03-14 11:39:13.507706,2026-03-14 11:40:30.623059,0 days 00:01:17.115353,256,0.13650686882003338,512,0.00012858945598991575,4,3.5427509220835435e-06,PRUNED
40,0.6812899001473236,2026-03-14 11:40:30.624002,2026-03-14 11:41:41.282154,0 days 00:01:10.658152,128,0.0985313262117781,512,0.0015713653079410742,3,0.0006531480002543052,PRUNED
41,0.7813062694385333,2026-03-14 11:41:41.283105,2026-03-14 11:47:34.408901,0 days 00:05:53.125796,128,0.005096060290056788,512,0.0001809058098464056,3,2.480189663691027e-06,COMPLETE
42,0.7366181044360779,2026-03-14 11:47:34.409864,2026-03-14 11:51:59.539879,0 days 00:04:25.130015,128,0.03359428531142263,512,0.0001695025470706504,6,4.70127979860398e-06,PRUNED
43,0.710263545588476,2026-03-14 11:51:59.540908,2026-03-14 11:53:16.756734,0 days 00:01:17.215826,128,0.0679080678548257,512,0.000264013418973421,3,2.7657276212419433e-06,PRUNED
44,0.7804878048780488,2026-03-14 11:53:16.757632,2026-03-14 11:59:08.329155,0 days 00:05:51.571523,128,0.00024503450178156583,512,0.0001543756830119813,3,1.4342012335115553e-06,COMPLETE
45,0.6961859551481421,2026-03-14 11:59:08.330218,2026-03-14 12:00:26.771714,0 days 00:01:18.441496,64,0.03154816444864937,64,0.0001523751150434566,2,1.304960151514035e-06,PRUNED
46,0.7115730888852513,2026-03-14 12:00:26.772688,2026-03-14 12:01:27.673761,0 days 00:01:00.901073,256,0.06945569229515741,256,0.0007381461763667768,4,2.2159713543523163e-06,PRUNED
47,0.7534784743820593,2026-03-14 12:01:27.674776,2026-03-14 12:05:26.150048,0 days 00:03:58.475272,128,0.025673726014581594,512,0.00029803083368803247,3,1.0404820287144092e-06,PRUNED
48,0.7541332460304468,2026-03-14 12:05:26.151010,2026-03-14 12:10:59.135875,0 days 00:05:32.984865,64,0.056130938291276924,128,0.00020882578418234164,3,5.631802636604764e-06,PRUNED
49,0.7683745293828778,2026-03-14 12:10:59.136773,2026-03-14 12:17:45.649416,0 days 00:06:46.512643,128,0.021868216888704224,512,0.0001180750322102525,5,1.7236926328182197e-06,PRUNED
50,0.6844000654771648,2026-03-14 12:17:45.650461,2026-03-14 12:18:35.215474,0 days 00:00:49.565013,256,0.49994549013597606,512,0.0003240555194729632,2,1.3653287288771669e-06,PRUNED
51,0.7804878048780488,2026-03-14 12:18:35.216474,2026-03-14 12:24:28.238745,0 days 00:05:53.022271,128,0.002069379994347312,512,0.0001022359354773845,3,3.1215264462808347e-06,COMPLETE
52,0.7790145686691766,2026-03-14 12:24:28.239711,2026-03-14 12:30:17.630555,0 days 00:05:49.390844,128,0.03671706054126813,512,0.00015663086205206628,3,3.177158631250526e-06,COMPLETE
53,0.7803241119659519,2026-03-14 12:30:17.631478,2026-03-14 12:36:06.458927,0 days 00:05:48.827449,128,0.0008709473021711432,512,0.00012088254408871003,3,2.018403572767881e-06,COMPLETE
54,0.7565886397119005,2026-03-14 12:36:06.459893,2026-03-14 12:39:43.241279,0 days 00:03:36.781386,128,0.0034762676735912244,512,0.00011968133483781121,3,2.074513637718949e-06,PRUNED
55,0.7151743329513832,2026-03-14 12:39:43.242286,2026-03-14 12:41:07.298284,0 days 00:01:24.055998,128,0.021568779408620425,512,0.00018127888016242918,3,4.775776254016147e-06,PRUNED
56,0.7053527582255689,2026-03-14 12:41:07.299266,2026-03-14 12:42:14.701505,0 days 00:01:07.402239,128,0.04344430567313422,256,0.00014104378752673372,4,2.871562010907932e-06,PRUNED
57,0.6989687346537895,2026-03-14 12:42:14.702415,2026-03-14 12:43:25.025057,0 days 00:01:10.322642,128,0.003938218657729576,512,0.002829759901214058,3,6.089091157243407e-06,PRUNED
58,0.7061712227860534,2026-03-14 12:43:25.026070,2026-03-14 12:44:18.187123,0 days 00:00:53.161053,128,0.06855438004618336,128,0.00011244752618170872,2,1.6578418204640228e-06,PRUNED
59,0.6991324275658864,2026-03-14 12:44:18.188135,2026-03-14 12:45:25.854270,0 days 00:01:07.666135,128,0.01786794617037238,64,0.00021447315869651122,4,1.2033345968193216e-05,PRUNED
60,0.7829431985595023,2026-03-14 12:45:25.855222,2026-03-14 12:51:16.368820,0 days 00:05:50.513598,128,0.03828313584162488,512,0.00010048545768934084,3,2.3847669174442702e-06,COMPLETE
61,0.7001145850384678,2026-03-14 12:51:16.369908,2026-03-14 12:52:26.370881,0 days 00:01:10.000973,128,0.03762487481472469,512,0.00010135812126882907,3,2.2230054450307523e-06,PRUNED
62,0.7038795220166967,2026-03-14 12:52:26.371889,2026-03-14 12:53:50.301866,0 days 00:01:23.929977,128,0.01620840516807831,512,0.000126036568320227,3,3.647530616977558e-06,PRUNED
63,0.7256506793255852,2026-03-14 12:53:50.302860,2026-03-14 12:55:49.402884,0 days 00:01:59.100024,128,0.054516989317903115,512,0.00015472694091755982,3,2.571288346708028e-06,PRUNED
64,0.7799967261417581,2026-03-14 12:55:49.403878,2026-03-14 13:01:39.063477,0 days 00:05:49.659599,128,0.00020856214755631978,512,0.0001892610131653662,3,1.2418053938778888e-06,COMPLETE
65,0.7186118841054182,2026-03-14 13:01:39.064524,2026-03-14 13:03:09.596494,0 days 00:01:30.531970,128,0.09151974816103216,512,0.00010178841502469458,3,1.7582884254821398e-06,PRUNED
66,0.7361270256997872,2026-03-14 13:03:09.597432,2026-03-14 13:05:42.754694,0 days 00:02:33.157262,128,0.12055347359938805,512,0.0002488369409715899,3,4.055836970909023e-06,PRUNED
67,0.7415288917989851,2026-03-14 13:05:42.755634,2026-03-14 13:07:44.418365,0 days 00:02:01.662731,128,0.06853998385913951,512,0.0001348147299801656,2,2.0497755961691476e-06,PRUNED
68,0.778359797020789,2026-03-14 13:07:44.419308,2026-03-14 13:13:32.381823,0 days 00:05:47.962515,128,0.03608251968505015,512,0.0001642817652345286,3,2.910566955324426e-06,COMPLETE
