number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_num_layers,params_weight_decay,state
77,0.7508405897060091,2026-03-04 12:57:28.307949,2026-03-04 12:59:28.195612,0 days 00:01:59.887663,64,0.08555224356880978,512,0.0011542799541380965,4,2.056586108783266e-06,PRUNED
78,0.7530821622553668,2026-03-04 12:59:28.196569,2026-03-04 13:00:43.917617,0 days 00:01:15.721048,64,0.19618645766486104,64,0.0040586419414297605,2,4.739116195315647e-06,PRUNED
79,0.7411845848780068,2026-03-04 13:00:43.918475,2026-03-04 13:01:40.287147,0 days 00:00:56.368672,256,0.10691483192680717,512,0.0031798955398264412,2,6.010707585015665e-05,PRUNED
80,0.7708423139925855,2026-03-04 13:01:40.288164,2026-03-04 13:03:45.899790,0 days 00:02:05.611626,64,0.060993070904127825,128,0.002478428047406735,2,1.0792492781962787e-05,PRUNED
81,0.7748943874471937,2026-03-04 13:03:45.900735,2026-03-04 13:06:26.442223,0 days 00:02:40.541488,64,0.030173881085387946,512,0.0016894091266955065,2,7.855619538749963e-06,PRUNED
82,0.7558410207776532,2026-03-04 13:06:26.443313,2026-03-04 13:07:51.421353,0 days 00:01:24.978040,64,0.001553998348742174,512,0.001881348207133922,2,4.16937195453362e-05,PRUNED
83,0.7279075782395034,2026-03-04 13:07:51.422338,2026-03-04 13:09:33.173260,0 days 00:01:41.750922,64,0.015307262048513591,512,0.0015618369623032662,2,2.3059556137563997e-05,PRUNED
84,0.7434261574273644,2026-03-04 13:09:33.174163,2026-03-04 13:10:57.978757,0 days 00:01:24.804594,64,0.04727098722922536,512,0.002139025381656295,2,1.2988324913973007e-05,PRUNED
85,0.8142943357185964,2026-03-04 13:10:57.979662,2026-03-04 13:18:02.281158,0 days 00:07:04.301496,64,0.02216568766134896,512,0.002783702766227547,2,1.632822464709791e-05,COMPLETE
86,0.7549788774894387,2026-03-04 13:18:02.282111,2026-03-04 13:19:26.677352,0 days 00:01:24.395241,64,0.28403767342069686,512,0.0027286273691636666,2,2.825417552902554e-06,PRUNED
87,0.7427364427967929,2026-03-04 13:19:26.678253,2026-03-04 13:21:10.205164,0 days 00:01:43.526911,64,0.07835293531442176,512,0.00495160206953112,3,1.608236008088697e-05,PRUNED
88,0.7568755927235107,2026-03-04 13:21:10.206162,2026-03-04 13:22:51.886481,0 days 00:01:41.680319,64,0.025817677319022733,512,0.0035661150614665765,2,3.602121524918107e-06,PRUNED
