number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_num_layers,params_weight_decay,state
54,0.7917808219178082,2026-02-15 03:56:47.795929,2026-02-15 04:02:38.009490,0 days 00:05:50.213561,128,0.20290396707381042,256,0.0003713635472308909,4,0.00010496974853986146,PRUNED
55,0.7475068493150685,2026-02-15 04:02:38.010260,2026-02-15 04:04:40.406678,0 days 00:02:02.396418,64,0.33560841844425143,256,0.00017681663555496854,3,0.000605450178938828,PRUNED
56,0.7566027397260274,2026-02-15 04:04:40.407621,2026-02-15 04:07:28.688502,0 days 00:02:48.280881,64,0.23197197944013706,128,0.00022286602191662366,4,0.00024286219259423472,PRUNED
57,0.7530410958904109,2026-02-15 04:07:28.689342,2026-02-15 04:09:43.381462,0 days 00:02:14.692120,64,0.2575763511083256,256,0.0004668760453067919,3,7.021157912478529e-05,PRUNED
58,0.7408219178082192,2026-02-15 04:09:43.382205,2026-02-15 04:12:01.579771,0 days 00:02:18.197566,256,0.018579386515643295,512,0.001879286898278027,5,4.05444443336449e-05,PRUNED
59,0.8103561643835616,2026-02-15 04:12:01.580613,2026-02-15 04:23:54.865753,0 days 00:11:53.285140,64,0.09860985607048317,256,0.0007999328317891114,4,2.384628291816241e-05,COMPLETE
60,0.7502465753424657,2026-02-15 04:23:54.866737,2026-02-15 04:26:30.859578,0 days 00:02:35.992841,64,0.07798319048858586,256,0.0006020099872949463,4,2.3867408970537323e-05,PRUNED
61,0.7391780821917808,2026-02-15 04:26:30.860292,2026-02-15 04:28:51.876655,0 days 00:02:21.016363,64,0.15333641713355622,256,0.0007633917703531363,4,3.0709674661176284e-05,PRUNED
62,0.741041095890411,2026-02-15 04:28:51.877547,2026-02-15 04:31:13.131890,0 days 00:02:21.254343,64,0.10046361396949872,256,0.001257270985700779,4,2.2220237498421697e-05,PRUNED
63,0.749041095890411,2026-02-15 04:31:13.132739,2026-02-15 04:33:47.695415,0 days 00:02:34.562676,64,0.18597422510754283,256,0.000635218145445485,4,1.840505141745955e-05,PRUNED
64,0.8075068493150684,2026-02-15 04:33:47.696221,2026-02-15 04:43:54.427878,0 days 00:10:06.731657,64,0.09446637083865975,256,0.000837464824949126,3,0.00038709065425590416,COMPLETE
65,0.8097534246575342,2026-02-15 04:43:54.428642,2026-02-15 04:54:01.368372,0 days 00:10:06.939730,64,0.05415270584774818,256,0.001446663575683595,3,1.2701917347550132e-05,COMPLETE
66,0.7227945205479452,2026-02-15 04:54:01.369145,2026-02-15 04:56:02.740350,0 days 00:02:01.371205,64,0.09992023915728007,256,0.0021996966418790925,3,0.0004149461312330614,PRUNED
67,0.8091506849315069,2026-02-15 04:56:02.741181,2026-02-15 05:06:12.440219,0 days 00:10:09.699038,64,0.055951529467685085,256,0.0008528726248641949,3,1.2529649118546464e-05,COMPLETE
68,0.7715616438356164,2026-02-15 05:06:12.441022,2026-02-15 05:09:44.160516,0 days 00:03:31.719494,64,0.0614160204792373,256,0.0015097641315445966,3,1.1899756076151095e-05,PRUNED
69,0.809041095890411,2026-02-15 05:09:44.161378,2026-02-15 05:19:58.960295,0 days 00:10:14.798917,64,0.04764816615211358,256,0.0008203848905971441,3,1.4111938928367036e-05,COMPLETE
70,0.8106849315068493,2026-02-15 05:19:58.961053,2026-02-15 05:30:13.861826,0 days 00:10:14.900773,64,0.04821922755593036,256,0.0008007016085176578,3,1.5408221478908417e-05,COMPLETE
71,0.8092602739726027,2026-02-15 05:30:13.862800,2026-02-15 05:40:29.312187,0 days 00:10:15.449387,64,0.04414584366726632,256,0.0008453232016575269,3,1.4784144348971396e-05,COMPLETE
72,0.7624109589041096,2026-02-15 05:40:29.313156,2026-02-15 05:42:57.139139,0 days 00:02:27.825983,64,0.04723607087744228,256,0.0010164197978726188,3,1.4563005023942184e-05,PRUNED
73,0.8106301369863014,2026-02-15 05:42:57.139984,2026-02-15 05:53:12.656423,0 days 00:10:15.516439,64,0.0212898665681326,256,0.0011275319538961424,3,1.0006900008249846e-05,COMPLETE
74,0.7605479452054794,2026-02-15 05:53:12.657395,2026-02-15 05:55:40.689682,0 days 00:02:28.032287,64,0.020465598652944103,256,0.0013820882386376494,3,1.1382132774608943e-05,PRUNED
75,0.8105753424657535,2026-02-15 05:55:40.690467,2026-02-15 06:05:58.143405,0 days 00:10:17.452938,64,0.05935503355954848,256,0.001166187336795718,3,1.3253489069265724e-05,COMPLETE
76,0.8103561643835616,2026-02-15 06:05:58.144302,2026-02-15 06:16:11.259434,0 days 00:10:13.115132,64,0.07200522813453811,256,0.0010754110576659311,3,1.0094469271353637e-05,COMPLETE
77,0.7624109589041096,2026-02-15 06:16:11.260173,2026-02-15 06:18:38.689510,0 days 00:02:27.429337,64,0.07542507639593587,256,0.001133061378820656,3,1.5924001357494495e-05,PRUNED
78,0.8092054794520548,2026-02-15 06:18:38.690379,2026-02-15 06:28:51.951307,0 days 00:10:13.260928,64,0.020907287487210477,256,0.0017490621525384482,3,1.0130453651651425e-05,COMPLETE
79,0.7566575342465753,2026-02-15 06:28:51.952153,2026-02-15 06:30:55.320690,0 days 00:02:03.368537,64,0.021124486411205727,256,0.00169496299246244,3,1.0051091657412885e-05,PRUNED
80,0.758958904109589,2026-02-15 06:30:55.321638,2026-02-15 06:33:23.677684,0 days 00:02:28.356046,64,0.008208613840055737,256,0.002218103485797572,3,1.00538153454455e-05,PRUNED
81,0.7544657534246575,2026-02-15 06:33:23.678572,2026-02-15 06:35:27.403560,0 days 00:02:03.724988,64,0.02718208428818526,256,0.0013089536134535441,3,1.1785317841396589e-05,PRUNED
82,0.7424657534246575,2026-02-15 06:35:27.404495,2026-02-15 06:38:07.204013,0 days 00:02:39.799518,64,0.04166266556816089,256,0.000948735490180711,3,1.9802166129210023e-05,PRUNED
83,0.7684383561643836,2026-02-15 06:38:07.204833,2026-02-15 06:40:46.540680,0 days 00:02:39.335847,64,0.06339762723863723,256,0.001172841448154217,3,1.6154960457403346e-05,PRUNED
84,0.7517260273972602,2026-02-15 06:40:46.541453,2026-02-15 06:42:49.003746,0 days 00:02:02.462293,64,0.0802069541173367,128,0.0017292761858644975,3,1.3111777038809763e-05,PRUNED
85,0.7413150684931507,2026-02-15 06:42:49.004643,2026-02-15 06:44:52.027437,0 days 00:02:03.022794,64,0.36890577504269706,256,0.0009842381180669268,3,1.1412041542505464e-05,PRUNED
86,0.7445479452054794,2026-02-15 06:44:52.028277,2026-02-15 06:46:54.699613,0 days 00:02:02.671336,64,0.2934861483249556,256,0.0013926817935413667,3,2.030857988443905e-05,PRUNED
87,0.7344109589041096,2026-02-15 06:46:54.700477,2026-02-15 06:48:04.135026,0 days 00:01:09.434549,256,0.0021618235287558935,256,0.0007440114370023461,3,1.577721350411033e-05,PRUNED
88,0.7426849315068493,2026-02-15 06:48:04.135902,2026-02-15 06:50:06.330100,0 days 00:02:02.194198,64,0.12767169988298796,256,0.0019633296465059627,3,1.4217794761609747e-05,PRUNED
89,0.7372602739726027,2026-02-15 06:50:06.330922,2026-02-15 06:52:08.580576,0 days 00:02:02.249654,64,0.03305627314017122,256,0.0029288584631024118,3,1.2939781669010182e-05,PRUNED
90,0.7583561643835617,2026-02-15 06:52:08.581452,2026-02-15 06:54:47.670078,0 days 00:02:39.088626,64,0.014633197467131518,256,0.0006694397870729586,3,1.1204524308921696e-05,PRUNED
91,0.7872876712328767,2026-02-15 06:54:47.670839,2026-02-15 07:00:07.013708,0 days 00:05:19.342869,64,0.057605551098977095,256,0.0008482489950036771,3,1.2540176089631812e-05,PRUNED
92,0.7543561643835617,2026-02-15 07:00:07.014549,2026-02-15 07:02:09.729289,0 days 00:02:02.714740,64,0.05433667847555951,256,0.0011101139536372612,3,1.7897656128138574e-05,PRUNED
93,0.7658082191780822,2026-02-15 07:02:09.730126,2026-02-15 07:04:49.343349,0 days 00:02:39.613223,64,0.0863152950836214,256,0.0009031222110798873,3,1.337883405494802e-05,PRUNED
94,0.7572054794520547,2026-02-15 07:04:49.344098,2026-02-15 07:06:52.210794,0 days 00:02:02.866696,64,0.10913686969941,256,0.0015864191184796195,3,1.5246808642966808e-05,PRUNED
95,0.7574246575342466,2026-02-15 07:06:52.211593,2026-02-15 07:08:55.449743,0 days 00:02:03.238150,64,0.039905440763749245,256,0.0011990427355591333,3,1.0848016003651827e-05,PRUNED
96,0.8012602739726027,2026-02-15 07:08:55.450741,2026-02-15 07:17:56.754952,0 days 00:09:01.304211,64,0.06835778376425752,128,0.0010537384906044987,3,2.4965049160813897e-05,PRUNED
97,0.7558904109589041,2026-02-15 07:17:56.755751,2026-02-15 07:20:36.212156,0 days 00:02:39.456405,64,0.0266949800236925,256,0.0014023323471533502,3,1.2450157544071802e-05,PRUNED
98,0.7695342465753424,2026-02-15 07:20:36.212990,2026-02-15 07:23:15.028453,0 days 00:02:38.815463,64,0.0565570493807379,256,0.0007751455801314251,3,1.674230408048271e-05,PRUNED
99,0.7569315068493151,2026-02-15 07:23:15.029284,2026-02-15 07:25:41.573100,0 days 00:02:26.543816,64,0.07224094628327477,256,0.0005926010359259034,3,1.9085982425394438e-05,PRUNED
